Subject,Session,Round,Word,Bet,RT
77,1,1,apple,2,0.6101728988933246
77,1,1,bus,3,0.50791083598142
77,1,1,music,4,0.47450345788729464
77,1,1,girl,5,0.5078483522247552
77,1,1,luck,6,0.4407890943812163
77,1,1,owl,7,0.44005287272830174
77,1,1,smile,8,0.4069742135279739
77,1,1,wash,9,0.4578528951260523
77,1,1,bag,3,0.559438201602461
77,1,1,crab,2,0.5423931157993138
77,1,1,drink,1,0.4746773257320456
77,1,1,frog,4,0.5255614407005851
77,1,2,stick,3,0.5084837546755807
77,1,2,bowl,4,0.6106380557466764
77,1,2,mud,2,0.5423490451303223
77,1,2,pool,3,0.5595381152425034
77,1,2,door,2,0.5079850920392346
77,1,2,snake,2,0.9485867351513662
77,1,2,green,4,0.47458344916958595
77,1,2,bird,3,0.5254609233525116
77,1,2,club,2,0.5764171814034853
77,1,2,tent,4,0.542445638377103
77,1,2,skate,2,0.5085320512998805
77,1,2,oven,3,0.5932201803816497
77,1,3,uncle,0,0.5932367823461391
77,1,3,petal,0,0.5253652356677776
77,1,3,dad,0,0.47464472551018844
77,1,3,skull,0,0.5255481591284479
77,1,3,straw,0,0.610363670555671
77,1,3,cheek,0,0.5937263893647469
77,1,3,tool,0,0.5762360690650894
77,1,3,park,0,0.5424634477576546
77,1,3,egg,0,0.5085966480337447
77,1,3,home,0,0.6950016918908659
77,1,3,lion,0,0.5764757410588572
77,1,3,juice,0,0.44107887412155833
77,1,4,honey,1,0.47468607949394936
77,1,4,plate,1,0.5934504949045731
77,1,4,mouse,1,0.6780942514642447
77,1,4,grill,1,1.2372601808528998
77,1,4,fork,1,0.644215981292291
77,1,4,aunt,1,0.6440122299127324
77,1,4,knee,1,0.6271069024633107
77,1,4,metal,1,0.6272859018235977
77,1,4,snow,1,0.5766592682284681
77,1,4,fence,1,0.6776746745490527
77,1,4,movie,1,0.6607494247418799
77,1,4,rifle,1,0.6105988147401149
